Team,R_curr,HR_curr,RBI_curr,SB_curr,OPS_curr,PA_curr,IP_curr,QS_curr,SV_curr,ER_curr,H_curr,BB_curr
Exit Velo Vets,40,16,36,3,.7915,350,52.2,2,3,17.00,58.00,0
Budget Ballers,42,12,45,5,.8067,350,55.0,2,2,30.00,75.00,0
Haders Gonna Hade,30,5,27,2,.7895,350,56.2,3,5,14.00,59.00,0
The Roman Empire Strikes Back,34,8,22,9,.6833,350,57.0,2,1,14.00,63.00,0
Rebels,31,6,33,4,.6277,350,50.2,3,3,17.00,55.00,0
Corbin Barrels,27,5,24,3,.5953,350,64.0,7,2,17.00,68.00,0
John's Finest Team,22,5,22,5,.6425,350,54.2,5,2,11.00,57.00,0
adam's Astounding Team,31,7,34,6,.6502,350,46.1,3,1,16.00,60.00,0
Spencer Steer for MVP,32,6,23,6,.6750,350,48.1,2,3,21.00,56.00,0
brew crew,27,6,29,6,.6843,350,53.0,3,1,38.00,71.00,0
Judge Judy and Executioner,24,10,31,2,.7003,350,41.2,1,2,26.00,57.00,0
Lucas Alvarez Team,19,3,16,5,.5639,350,61.1,1,0,44.00,105.00,0
