Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
NYY,Yankees,120,414,517,118,61,20,1,36,89,91,93,17,130,6,3,1,,9,3,0.283572,0.418923,0.595126,1.01405,0.420188,0.180428,0.251147,0.718418,0.311554,4.03329,0.324198,-0.794493,,106.014,44.9513,1.88073,-0.239013,-1.03351,5.99063,44.72421109676361,-3.9772931337356567,175.124,954.6,7.955,954.6,7.955,1.850000023841858,0.31693989,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640
KCR,Royals,126,491,545,142,85,31,5,21,80,74,45,5,92,5,4,1,,28,8,0.289365,0.351778,0.502552,0.85433,0.362677,0.082044,0.169286,0.484648,0.213187,6.85723,0.317195,1.3403,,86.3336,21.9522,6.72617,1.41307,2.75337,5.54852,22.89396643638611,12.564131259918213,131.362,800.8,6.355555555,800.8,6.355555555,3.0999999046325684,0.02105263,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,125,427,539,117,68,20,1,29,88,78,105,7,93,3,3,1,,16,4,0.274991,0.418157,0.527967,0.946124,0.403665,0.194124,0.172667,1.12427,0.252976,4.77367,0.2881,-0.449165,,103.389,39.6717,-4.55279,0.285653,-0.163512,4.94171,41.64222055673599,-11.29352855682373,165.41,907.7,7.2616,907.7,7.2616,4.650000095367432,0.0625,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123
SEA,Mariners,125,432,502,97,49,17,0,30,67,76,62,7,137,4,3,1,,6,2,0.223908,0.324484,0.471733,0.796217,0.338418,0.123445,0.273582,0.451217,0.247825,3.21713,0.249555,-1.04713,,69.6505,10.337,3.99447,-0.366758,-1.41389,4.65515,12.903288006782532,9.827336549758911,124.199,646.3,5.1704,646.3,5.1704,18.729999542236328,0.23834197,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534
BAL,Orioles,125,474,539,124,73,25,4,23,80,69,56,2,121,5,3,1,,18,4,0.262596,0.344044,0.476788,0.820832,0.352249,0.103465,0.223807,0.462293,0.214192,6.28641,0.30447,1.12142,,80.8779,17.1602,-1.42595,1.07275,2.19416,4.43301,20.396816730499268,4.3518325090408325,128.639,737.9,5.9032,737.9,5.9032,12.510000228881836,0.05945946,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,126,494,546,134,85,24,2,23,74,78,41,4,121,8,3,0,,19,5,0.270543,0.333996,0.46553,0.799525,0.342788,0.075298,0.220952,0.340789,0.194987,5.36351,0.312541,0.3447,,77.7314,13.1867,3.88721,0.811323,1.15602,4.41718,18.673904538154602,5.678877234458923,127.209,722.7,5.735714285,722.7,5.735714285,9.489999771118164,0.00518135,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697
LAD,Dodgers,125,451,539,124,65,22,4,34,98,86,78,15,131,5,3,2,,19,4,0.275277,0.385241,0.56701,0.952251,0.395677,0.145221,0.242606,0.598586,0.291733,6.40944,0.31085,0.0557775,,99.8919,36.1742,0.0,1.31301,1.36879,4.33424,37.89271295070648,-13.481481552124023,157.146,923.5,7.388,923.5,7.388,1.2699999809265137,0.90821256,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755
SDP,Padres,127,475,549,129,81,24,2,22,82,69,63,4,110,5,4,2,,23,6,0.270885,0.35916,0.466767,0.825927,0.355868,0.114127,0.200953,0.567928,0.195883,5.58549,0.307707,0.406547,,83.9624,19.0858,5.72349,1.27576,1.6823,4.28797,23.225770950317383,0.4066643714904785,133.105,766.1,6.032283464,766.1,6.032283464,14.010000228881836,0.01069519,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
CIN,Reds,125,479,539,127,75,25,4,22,80,76,54,4,142,3,3,1,,33,9,0.265273,0.340679,0.476423,0.817103,0.349225,0.0997676,0.263665,0.378388,0.21115,7.10364,0.329493,1.38394,,79.5538,15.8361,1.43335,2.0745,3.45844,4.21137,16.19979190826416,7.010512590408325,119.935,742.8,5.9424,742.8,5.9424,8.449999809265137,0.02061856,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668
CLE,Guardians,125,476,541,127,75,28,2,23,75,75,58,15,65,3,3,0,,28,6,0.267992,0.349688,0.480313,0.830001,0.348599,0.107641,0.120922,0.890165,0.212321,5.74352,0.267322,-0.00178724,,79.4892,15.603,1.37916,2.40408,2.4023,4.04643,18.884944438934326,2.036105155944824,125.865,763.4,6.1072,763.4,6.1072,6.28000020980835,0.17098446,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070,13510,13510
