Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
NYY,Yankees,114,404,501,116,58,20,1,37,89,94,89,16,128,5,2,0,,8,2,0.286903,0.419641,0.612327,1.03197,0.426659,0.177785,0.255293,0.696394,0.325424,4.00049,0.327775,0.0,,105.385,46.2002,4.05464,-0.275401,-0.275401,6.38994,46.70643737912178,-1.507472038269043,179.581,948.7,8.321929824,948.7,8.321929824,1.850000023841858,0.31351351,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,121,474,524,137,82,30,6,20,74,72,42,4,91,4,4,0,,27,7,0.288416,0.349038,0.499869,0.848907,0.360637,0.0802181,0.174341,0.460123,0.211453,7.05533,0.319501,0.0,,82.2165,20.2577,7.87871,1.63567,1.63567,5.27352,20.149899125099182,13.328432083129883,129.957,772.1,6.380991735,772.1,6.380991735,3.0999999046325684,0.02083333,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
LAD,Dodgers,121,465,551,130,67,24,3,36,102,96,76,15,133,5,4,0,,22,3,0.279668,0.384804,0.57648,0.961284,0.399166,0.138715,0.241676,0.57397,0.296812,6.68841,0.314132,0.0,,103.586,38.5072,0.0,2.08369,2.08369,4.80594,40.947991132736206,-12.316855430603027,159.536,964.5,7.97107438,964.5,7.97107438,1.2699999809265137,0.90909091,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
SEA,Mariners,119,427,493,96,48,17,0,31,63,81,59,6,138,3,3,0,,5,2,0.22424,0.320405,0.478167,0.798572,0.338767,0.11909,0.279417,0.426207,0.253927,2.86964,0.248687,0.0,,68.5257,10.2891,7.76793,-0.435776,-0.435776,4.32513,13.761181473731995,11.532834768295288,124.439,641.2,5.388235294,641.2,5.388235294,18.729999542236328,0.23834197,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
SDP,Padres,119,451,519,122,78,22,2,19,77,66,58,3,105,5,5,1,,21,5,0.269843,0.356164,0.4564,0.812564,0.350753,0.112415,0.202978,0.553828,0.186557,5.59286,0.309181,0.0,,77.2633,15.8964,8.29751,1.20816,1.20816,4.19044,19.429248332977295,4.232150077819824,129.601,700.9,5.889915966,700.9,5.889915966,14.010000228881836,0.0106383,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
NYM,Mets,114,399,497,109,63,18,1,26,78,74,93,7,87,2,2,1,,16,3,0.273239,0.411125,0.523199,0.934325,0.398673,0.187165,0.174378,1.07333,0.249961,4.8768,0.287107,0.0,,93.2919,34.5554,-4.7664,0.792419,0.792419,4.12758,37.31508940458298,-13.526747226715088,161.99,820.7,7.199122807,820.7,7.199122807,4.650000095367432,0.07303371,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
NYM,Mets,115,454,512,117,73,22,2,19,76,64,47,1,94,9,3,0,,17,3,0.256963,0.335862,0.440664,0.776526,0.337043,0.0909906,0.184414,0.493404,0.183701,6.00544,0.284878,0.0,,70.508,9.97717,4.88642,1.18556,1.18556,4.12754,13.190068364143372,10.09219217300415,119.771,646.9,5.625217391,646.9,5.625217391,25.350000381469727,0.01086957,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
SEA,Mariners,120,477,525,129,83,23,1,22,73,75,38,4,118,8,3,0,,20,5,0.271423,0.334067,0.461678,0.795745,0.341441,0.0731431,0.224001,0.326531,0.190255,5.55567,0.316893,0.0,,74.1951,12.1098,3.13211,0.981153,0.981153,4.12633,17.257109999656677,4.9717302322387695,126.281,686.6,5.721666666,686.6,5.721666666,9.489999771118164,0.00512821,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
CIN,Reds,121,467,522,124,73,25,5,21,83,75,50,3,141,2,3,1,,31,8,0.266159,0.337804,0.477965,0.815769,0.348601,0.0954164,0.270963,0.352138,0.211806,7.41524,0.335311,0.0,,76.7191,15.0602,1.88882,2.34081,2.34081,4.00777,14.40625810623169,7.3874192237854,119.508,718.3,5.936363636,718.3,5.936363636,8.449999809265137,0.02040816,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
BAL,Orioles,121,461,520,121,70,24,5,22,77,69,51,2,119,5,3,0,,17,3,0.263101,0.339731,0.480686,0.820417,0.351499,0.0972545,0.229405,0.423941,0.217585,6.59896,0.306775,0.0,,77.6223,16.2202,-1.45417,1.2364,1.2364,3.9578,18.461161971092224,2.3196383714675903,128.123,713.4,5.895867768,713.4,5.895867768,12.510000228881836,0.05913978,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
