Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
DET,Tigers,12,5,26,26,0,0,,159.0,632,126,52,47,14,191,32,,5,2.67291,0.992533,10.803,1.79475,6.01926,0.799489,0.302857,0.0503147,0.2525423653423786,,0.212609,0.288495,0.76901,2.58822,947.8000000000001,5.961006289308177,884.0,5.559748427672956,5.04636,4.87469,18,7.019999980926514,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,11,6,26,26,0,0,,147.0,594,119,52,48,13,173,39,,6,2.92051,1.0798,10.6401,2.40597,4.42236,0.816205,0.291731,0.0659673,0.2257639616727829,,0.216828,0.291728,0.760838,2.86581,829.4999999999999,5.642857142857142,777.0,5.285714285714286,4.11039,4.35561,17,9.649999618530273,27,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,10,6,26,26,0,0,,160.0,657,144,62,56,14,160,42,,5,3.15796,1.16258,9.01148,2.34005,3.85098,0.769636,0.243715,0.0632864,0.18042830377817154,,0.236411,0.299176,0.744423,3.11595,816.4,5.1025,797.0,4.98125,3.98031,4.15293,17,24.75,26,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,11,8,26,26,0,0,,162.0,675,155,65,59,12,151,40,,5,3.27786,1.19812,8.3908,2.19573,3.82142,0.686921,0.224212,0.0586723,0.1655394658446312,,0.245646,0.305265,0.73066,3.08444,815.2,5.032098765432099,821.0,5.067901234567901,3.52403,3.47063,16,57.189998626708984,30,NL,Logan Webb,657277,17995,17995
BOS,Red Sox,9,5,21,21,0,0,,121.0,494,102,45,41,12,148,34,,4,3.08376,1.11835,11.0341,2.5151,4.38716,0.923458,0.300531,0.0685025,0.23202895373106003,,0.22287,0.302323,0.764232,2.96333,664.6000000000001,5.4925619834710755,631.0,5.214876033057851,3.29608,3.31046,13,12.239999771118164,3,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,10,6,23,23,0,0,,140.0,576,119,56,52,15,154,39,,6,3.31496,1.12584,9.85962,2.52692,3.90183,0.959368,0.267161,0.0684707,0.19869018346071243,,0.223909,0.287114,0.742147,3.30905,715.1,5.107857142857143,678.0,4.8428571428571425,3.21521,3.4383,14,110.48999786376953,26,NL,Zack Wheeler,554430,10310,10310
NYY,Yankees,11,7,25,25,0,0,,153.0,635,138,62,57,13,141,45,,6,3.3556,1.19923,8.2772,2.66598,3.10475,0.790425,0.22117,0.0712362,0.14993419498205185,,0.236179,0.289494,0.734514,3.44211,742.5,4.852941176470588,725.0,4.738562091503268,3.19313,3.15863,15,50.04999923706055,9,AL,Max Fried,608331,13743,13743
TOR,Blue Jays,9,7,25,25,0,0,,138.0,580,112,57,53,14,167,56,,4,3.43887,1.21331,10.9036,3.62109,3.01114,0.939012,0.28873,0.0958872,0.19284305721521378,,0.215556,0.28885,0.747737,3.36985,711.8,5.1579710144927535,662.0,4.797101449275362,3.1696,2.75747,15,74.7699966430664,14,AL,Dylan Cease,656302,18525,18525
PHI,Phillies,10,8,26,26,0,0,,151.0,628,133,67,62,18,169,47,,4,3.66473,1.19226,10.0519,2.82572,3.55728,1.10011,0.268559,0.0754955,0.19306308776140213,,0.230144,0.293369,0.73418,3.51796,735.2,4.868874172185431,706.0,4.675496688741722,3.15288,2.98535,15,70.58999633789062,26,NL,Jesús Luzardo,666200,19959,19959
TEX,Rangers,9,7,23,23,0,0,,132.0,536,110,54,50,17,151,32,,3,3.42806,1.07637,10.3121,2.16825,4.75595,1.18948,0.28245,0.0593887,0.22306117042899132,,0.220173,0.279464,0.745112,3.34799,678.7000000000002,5.1416666666666675,636.0,4.818181818181818,3.05209,2.74546,14,50.0099983215332,13,AL,Jacob deGrom,594798,10954,10954
