Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
DET,Tigers,11.3478,6.8765,25.4815,25.4815,0.0,0.0,,158.9,634.332,127.538,54.0084,49.0826,15.3074,189.504,35.6843,,5.6881,2.78001,1.0272,10.7334,2.02114,5.31057,0.867,0.298746,0.0562549,0.24249085411429405,,0.215087,0.289143,0.77024,2.78338,913.3000000000002,5.744025157232706,854.0,5.371069182389937,4.62906,4.62725,18.0452,7.019999980926514,6.0,AL,Tarik Skubal,669373.0,22267,22267
PIT,Pirates,10.5305,7.2082,25.4815,25.4815,0.0,0.0,,150.059,609.749,122.529,54.0481,49.1574,13.2719,182.037,41.6288,,5.9005,2.94828,1.09395,10.9179,2.49674,4.37287,0.796,0.298545,0.068272,0.23027276992797852,,0.217937,0.297775,0.756366,2.80892,850.3,5.668666666666667,801.0,5.34,4.31148,4.34452,16.1359,9.649999618530273,27.0,NL,Paul Skenes,694973.0,33677,33677
PHI,Phillies,10.8144,7.4255,25.679,25.679,0.0,0.0,,157.493,645.198,142.008,60.0812,53.8643,13.2994,156.866,43.3186,,5.1242,3.0781,1.17673,8.9642,2.47546,3.62122,0.76,0.243129,0.06714,0.17598892748355865,,0.237967,0.301716,0.751289,3.16363,802.6999999999998,5.112738853503184,786.0,5.006369426751593,3.81156,4.16791,16.9139,24.75,26.0,NL,Cristopher Sánchez,650911.0,20778,20778
TEX,Rangers,9.0331,7.1528,23.4,23.4,0.0,0.0,,135.518,552.007,114.67,54.8773,50.9233,17.2409,160.657,32.7141,,4.0517,3.38192,1.08756,10.6696,2.17261,4.91095,1.145,0.291042,0.0592639,0.23177802190184593,,0.222555,0.288812,0.75058,3.23191,709.3000000000001,5.215441176470589,670.0,4.926470588235294,3.34698,2.90716,13.3304,50.0099983215332,13.0,AL,Jacob deGrom,594798.0,10954,10954
PHI,Phillies,9.5663,6.8176,23.4,23.4,0.0,0.0,,139.292,569.236,116.063,54.1335,49.6222,15.3531,158.515,38.6039,,6.5633,3.20621,1.11038,10.2421,2.49429,4.1062,0.992,0.27847,0.067817,0.21065302938222885,,0.221465,0.287578,0.754911,3.2648,722.5000000000001,5.197841726618706,680.0,4.892086330935252,3.2671,3.59255,14.3964,110.48999786376953,26.0,NL,Zack Wheeler,554430.0,10310,10310
BOS,Red Sox,8.2842,6.0309,20.8,20.8,0.0,0.0,,119.463,483.851,98.2719,45.212,41.3685,11.9728,145.971,33.9832,,4.405,3.11659,1.10708,10.9971,2.5602,4.29539,0.902,0.301686,0.0702348,0.23145099729299545,,0.220606,0.300151,0.753665,2.95825,656.1999999999998,5.5142857142857125,617.0,5.184873949579832,3.24762,3.17047,12.2941,12.239999771118164,3.0,AL,Garrett Crochet,676979.0,27463,27463
SFG,Giants,9.8405,8.6096,25.679,25.679,0.0,0.0,,160.187,670.8,155.898,66.3399,59.5882,12.5658,148.121,42.2517,,5.1242,3.34792,1.23699,8.32206,2.37388,3.50568,0.706,0.220812,0.062987,0.15782513469457626,,0.250068,0.309749,0.730016,3.19283,773.4999999999999,4.834375,786.0,4.9125,3.22053,3.18563,16.5899,57.189998626708984,30.0,NL,Logan Webb,657277.0,17995,17995
ATL,Braves,9.3621,6.1418,21.93,21.93,0.0,0.0,,133.382,544.862,110.045,51.7745,47.6268,14.0496,161.751,37.6592,,7.4194,3.21363,1.10737,10.9142,2.54106,4.29513,0.948,0.296866,0.069117,0.2277490496635437,,0.220185,0.296297,0.749247,3.09299,715.0,5.37593984962406,672.0,5.052631578947368,3.17536,3.30201,13.936,39.36000061035156,16.0,NL,Chris Sale,519242.0,10603,10603
TOR,Blue Jays,9.46,7.5178,24.7,24.7,0.0,0.0,,141.182,593.201,114.571,58.2977,53.6412,15.1849,171.284,57.0517,,4.7741,3.4195,1.21561,10.9189,3.63691,3.00226,0.968,0.288745,0.096176,0.19256895035505295,,0.215612,0.288153,0.753671,3.42068,715.9000000000001,5.077304964539008,666.0,4.723404255319149,3.12789,2.81971,13.6656,74.7699966430664,14.0,AL,Dylan Cease,656302.0,18525,18525
PHI,Phillies,9.9861,7.8782,25.679,25.679,0.0,0.0,,150.487,624.168,129.61,62.8251,57.8082,18.0751,166.74,49.6001,,4.7636,3.45727,1.19087,9.97201,2.96638,3.36168,1.081,0.267139,0.0794659,0.18767301738262177,,0.227464,0.289709,0.756214,3.56434,719.5999999999999,4.797333333333333,685.0,4.566666666666666,3.04916,3.34953,14.7036,70.58999633789062,26.0,NL,Jesús Luzardo,666200.0,19959,19959
