Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
DET,Tigers,12,4,25,25,,,,153.0,601,119,47,43,12,185,27,,5,2.54784,0.958296,10.9056,1.60021,6.81508,0.716396,0.307915,0.0451815,0.26273399218916893,,0.209503,0.287945,0.768237,2.37591,949.2000000000002,6.203921568627452,883.0,5.771241830065359,5.36661,5.12266,7.019999980926514,6,AL,Tarik Skubal,669373,22267,22267
SFG,Giants,13,7,27,27,,,,166.0,687,155,64,59,12,157,37,,5,3.17908,1.1556,8.47438,2.00481,4.22703,0.653821,0.22826,0.0540001,0.17425969243049622,,0.240805,0.300809,0.732193,2.95011,865.8000000000002,5.215662650602411,862.0,5.192771084337349,4.06489,4.01164,57.189998626708984,30,NL,Logan Webb,657277,17995,17995
PIT,Pirates,11,5,26,26,,,,144.0,584,116,50,46,13,165,38,,5,2.85143,1.06789,10.2682,2.35818,4.35428,0.790174,0.282162,0.0648012,0.21736104041337967,,0.215247,0.285491,0.765645,2.89324,805.1,5.590972222222223,752.0,5.222222222222222,3.97786,4.36783,9.649999618530273,27,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,12,5,24,24,,,,143.0,587,122,53,48,15,176,39,,5,3.05176,1.12932,11.0703,2.47116,4.4798,0.944364,0.299387,0.0668305,0.23255671560764313,,0.225006,0.304332,0.774365,2.96827,776.5,5.43006993006993,740.0,5.174825174825175,3.8803,3.92728,12.239999771118164,3,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,9,5,25,25,,,,151.0,621,137,59,55,13,152,36,,4,3.2524,1.14619,9.03883,2.15912,4.18635,0.796723,0.243898,0.0582602,0.18563736975193024,,0.235481,0.29674,0.736986,3.08468,785.3,5.200662251655629,770.0,5.099337748344371,3.77998,3.82858,24.75,26,NL,Cristopher Sánchez,650911,20778,20778
LAD,Dodgers,11,6,24,24,,,,142.0,569,112,59,55,15,149,36,,4,3.47068,1.04613,9.47133,2.28604,4.14312,0.96475,0.261885,0.0632097,0.19867559522390366,,0.212077,0.265939,0.699693,3.27402,753.0999999999999,5.303521126760563,693.0,4.880281690140845,3.4148,3.07042,26.639999389648438,22,NL,Yoshinobu Yamamoto,808967,33825,33825
NYY,Yankees,12,6,24,24,,,,147.0,608,129,60,55,11,133,42,,5,3.35198,1.15836,8.10987,2.55953,3.1685,0.69732,0.218368,0.0689183,0.14944962412118912,,0.229665,0.28176,0.717725,3.30353,742.1,5.048299319727891,717.0,4.877551020408164,3.38873,3.07633,50.04999923706055,9,AL,Max Fried,608331,13743,13743
TOR,Blue Jays,9,6,25,25,,,,138.0,579,112,58,53,14,167,55,,4,3.45909,1.2109,10.8877,3.60458,3.02051,0.908754,0.288712,0.0955839,0.19312791526317596,,0.215494,0.28957,0.741569,3.31679,714.8,5.179710144927536,665.0,4.818840579710145,3.34331,2.7303,74.7699966430664,14,AL,Dylan Cease,656302,18525,18525
HOU,Astros,10,5,21,23,,,,126.0,521,102,46,42,11,140,43,,4,3.03177,1.15295,9.9738,3.07793,3.24043,0.77773,0.268449,0.0828437,0.18560537695884705,,0.216163,0.283359,0.76242,3.1718,670.9000000000001,5.324603174603175,626.0,4.968253968253968,2.98023,3.25897,36.189998626708984,21,AL,Hunter Brown,686613,25880,25880
TOR,Blue Jays,9,7,24,24,,,,137.0,572,129,61,56,17,136,37,,1,3.70359,1.21152,8.97728,2.43556,3.68592,1.12106,0.238433,0.0646874,0.17374532669782639,,0.241127,0.293641,0.736865,3.60359,627.3000000000002,4.578832116788322,622.0,4.54014598540146,2.76279,2.33677,112.94999694824219,14,AL,Kevin Gausman,592332,14107,14107
BOS,Red Sox,10,7,23,24,,,,130.0,551,128,56,52,12,113,38,,3,3.60065,1.28577,7.87262,2.65019,2.97059,0.816149,0.205618,0.0692178,0.1363997980952263,,0.251773,0.303048,0.734294,3.51519,584.5999999999999,4.496923076923077,597.0,4.592307692307692,2.7419,2.69443,183.97999572753906,3,AL,Ranger Suarez,624133,17277,17277
SEA,Mariners,9,6,23,23,,,,133.0,536,113,56,51,16,133,27,,7,3.4576,1.04405,8.94049,1.80923,4.94161,1.06088,0.247461,0.050077,0.19738392904400826,,0.224064,0.273521,0.712684,3.43643,657.6000000000001,4.9443609022556405,621.0,4.669172932330827,2.73831,2.23397,34.77000045776367,11,AL,Bryan Woo,693433,30279,30279
PHI,Phillies,9,8,23,23,,,,134.0,559,120,64,59,17,150,41,,3,3.94824,1.20584,10.0959,2.74894,3.67267,1.14726,0.268238,0.0730362,0.19520146399736404,,0.233837,0.29713,0.709575,3.54305,638.4999999999999,4.764925373134328,617.0,4.604477611940299,2.70541,2.14138,70.58999633789062,26,NL,Jesús Luzardo,666200,19959,19959
CIN,Reds,6,6,25,25,,,,137.0,584,135,68,63,17,120,42,,3,4.13433,1.29378,7.85372,2.77139,2.83386,1.10505,0.204738,0.0722472,0.13249129801988602,,0.250672,0.293819,0.708153,3.97415,558.7000000000002,4.078102189781023,569.0,4.153284671532846,2.62649,2.14405,221.92999267578125,18,NL,Andrew Abbott,671096,29911,29911
MIN,Twins,9,8,24,24,,,,129.0,526,113,59,54,18,139,30,,8,3.79211,1.11267,9.76043,2.12585,4.5913,1.2293,0.265372,0.0577988,0.20757289975881577,,0.231169,0.287849,0.710497,3.62757,603.3999999999999,4.67751937984496,575.0,4.457364341085271,2.59126,2.11682,78.52999877929688,8,AL,Joe Ryan,657746,21390,21390
SEA,Mariners,8,5,24,25,,,,133.0,541,113,55,50,17,143,32,,5,3.40586,1.08876,9.67927,2.1882,4.42339,1.12498,0.264748,0.0598519,0.2048962228000164,,0.223455,0.278897,0.741356,3.44297,656.3,4.934586466165413,619.0,4.654135338345864,2.56216,2.33701,37.150001525878906,11,AL,Logan Gilbert,669302,22250,22250
TEX,Rangers,8,5,22,22,,,,118.0,478,98,50,46,17,131,29,,1,3.53196,1.07217,9.98145,2.21754,4.50113,1.26717,0.274065,0.0608879,0.21317684650421143,,0.218,0.269877,0.737788,3.52344,581.3,4.926271186440678,541.0,4.584745762711864,2.46907,2.24449,50.0099983215332,13,AL,Jacob deGrom,594798,10954,10954
DET,Tigers,9,7,23,23,,,,143.0,606,132,65,59,12,123,50,,6,3.74209,1.27303,7.7483,3.16333,2.44941,0.752383,0.203006,0.0828798,0.12012668699026108,,0.239673,0.288898,0.710288,3.68753,645.4000000000001,4.513286713286714,637.0,4.454545454545454,2.4638,2.35625,81.13999938964844,6,AL,Framber Valdez,664285,17295,17295
SEA,Mariners,9,7,23,23,,,,125.0,515,119,57,52,14,119,25,,5,3.74441,1.14585,8.58217,1.78502,4.80789,1.02873,0.231693,0.0481901,0.1835027150809765,,0.244548,0.296868,0.7036,3.43734,591.4,4.731199999999999,591.0,4.728,2.38771,1.60556,64.58000183105469,11,AL,George Kirby,669923,25436,25436
