Team,R_curr,HR_curr,RBI_curr,SB_curr,OPS_curr,PA_curr,IP_curr,QS_curr,SV_curr,ER_curr,H_curr,BB_curr,ERA_curr,WHIP_curr
Haders Gonna Hade,234.0,75.0,206.0,28.0,0.7975,1739.0,357.67,22.0,28.0,153.0,311.0,131.0,3.85,1.236
The Roman Empire Strikes Back,226.0,57.0,167.0,40.0,0.7657,1755.0,384.33,20.0,10.0,165.0,337.0,150.0,3.864,1.267
Rebels,177.0,44.0,182.0,20.0,0.7183,1592.0,302.33,13.0,19.0,137.0,293.0,91.0,4.078,1.27
Judge Judy and Executioner ,214.0,68.0,218.0,23.0,0.7535,1674.0,284.67,13.0,20.0,144.0,274.0,106.0,4.553,1.335
Budget Ballers,238.0,62.0,224.0,37.0,0.7764,1766.0,365.33,22.0,9.0,155.0,316.0,129.0,3.818,1.218
Lucas Alvarez Team,156.0,30.0,156.0,26.0,0.6647,1519.0,363.67,15.0,2.0,215.0,388.0,162.0,5.321,1.512
brew crew,202.0,39.0,173.0,49.0,0.7501,1636.0,340.67,16.0,7.0,172.0,326.0,114.0,4.544,1.292
Spencer Steer for MVP,215.0,41.0,182.0,34.0,0.7245,1655.0,331.67,22.0,18.0,126.0,259.0,120.0,3.419,1.143
Exit Velo Vets,211.0,63.0,214.0,31.0,0.7454,1783.0,349.33,20.0,19.0,142.0,300.0,135.0,3.658,1.245
Corbin Barrels,219.0,54.0,200.0,20.0,0.7547,1654.0,352.67,22.0,9.0,156.0,306.0,145.0,3.981,1.279
John's Finest Team,204.0,44.0,194.0,43.0,0.7336,1569.0,292.67,17.0,7.0,117.0,272.0,124.0,3.598,1.353
adam's Astounding Team,193.0,51.0,224.0,39.0,0.6946,1674.0,351.67,23.0,13.0,148.0,285.0,140.0,3.788,1.209
