Team,Player,Positions,Lineup_Slot,Status
Haders Gonna Hade,Jazz Chisholm Jr.,2B/3B/2B/SS/1B/3B/IF/UTIL/BE/IL,2B,Rostered
Haders Gonna Hade,Rafael Devers,1B/1B/3B/IF/DH/UTIL/BE/IL,DH,Rostered
Haders Gonna Hade,Matt Olson,1B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
Haders Gonna Hade,Byron Buxton,CF/OF/UTIL/BE/IL,CF,Rostered
Haders Gonna Hade,Seiya Suzuki,RF/OF/DH/UTIL/BE/IL,OF,Rostered
Haders Gonna Hade,David Bednar,P/RP/BE/IL,RP,Rostered
Haders Gonna Hade,Ben Rice,C/1B/1B/3B/IF/DH/UTIL/BE/IL,C,Rostered
Haders Gonna Hade,Eury Perez,P/SP/BE/IL,SP,Rostered
Haders Gonna Hade,Sandy Alcantara,P/SP/BE/IL,SP,Rostered
Haders Gonna Hade,Willy Adames,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Haders Gonna Hade,Nolan McLean,P/SP/BE/IL,P,Rostered
Haders Gonna Hade,Drew Rasmussen,P/SP/BE/IL,SP,Rostered
Haders Gonna Hade,Christian Walker,1B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Haders Gonna Hade,Sal Stewart,1B/3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
Haders Gonna Hade,Cam Schlittler,P/SP/BE/IL,P,Rostered
Haders Gonna Hade,Daulton Varsho,CF/OF/UTIL/BE/IL,OF,Rostered
Haders Gonna Hade,Wilyer Abreu,RF/OF/UTIL/BE/IL,RF,Rostered
Haders Gonna Hade,Bubba Chandler,P/SP/BE/IL,SP,Rostered
Haders Gonna Hade,Paul Sewald,P/RP/BE/IL,RP,Rostered
Haders Gonna Hade,Bryan Baker,P/RP/BE/IL,RP,Rostered
Haders Gonna Hade,Emerson Hancock,P/SP/BE/IL,SP,Rostered
Haders Gonna Hade,Angel Martinez,2B/2B/SS/IF/CF/OF/UTIL/BE/IL/LF/RF,2B/SS,Rostered
Haders Gonna Hade,Carson Benge,LF/CF/RF/OF/UTIL/BE/IL,LF,Rostered
Haders Gonna Hade,Ivan Herrera,DH/UTIL/BE/IL/C,UTIL,Rostered
Haders Gonna Hade,Gregory Soto,P/RP/BE/IL,RP,Rostered
Haders Gonna Hade,Jacob Latz,P/SP/RP/BE/IL,RP,Rostered
Haders Gonna Hade,Ryne Nelson,P/SP/RP/BE/IL,RP,Rostered
Haders Gonna Hade,Sean Burke,P/SP/BE/IL,SP,Rostered
The Roman Empire Strikes Back,Nick Kurtz,1B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
The Roman Empire Strikes Back,Junior Caminero,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
The Roman Empire Strikes Back,Roman Anthony,LF/RF/OF/UTIL/BE/IL/DH,LF,Rostered
The Roman Empire Strikes Back,Josh Naylor,1B/1B/3B/IF/DH/UTIL/BE/IL,DH,Rostered
The Roman Empire Strikes Back,Hunter Goodman,C/DH/UTIL/BE/IL,C,Rostered
The Roman Empire Strikes Back,Mike Trout,RF/OF/DH/UTIL/BE/IL/CF,CF,Rostered
The Roman Empire Strikes Back,Jacob Misiorowski,P/SP/BE/IL,SP,Rostered
The Roman Empire Strikes Back,Kenley Jansen,P/RP/BE/IL,RP,Rostered
The Roman Empire Strikes Back,Robert Suarez,P/RP/BE/IL,RP,Rostered
The Roman Empire Strikes Back,Chase Burns,P/SP/BE/IL,SP,Rostered
The Roman Empire Strikes Back,Kevin McGonigle,SS/2B/SS/IF/UTIL/BE/IL/3B/1B/3B,2B/SS,Rostered
The Roman Empire Strikes Back,Joey Cantillo,P/SP/RP/BE/IL,RP,Rostered
The Roman Empire Strikes Back,JJ Wetherholt,2B/SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
The Roman Empire Strikes Back,Chase DeLauter,LF/RF/OF/UTIL/BE/IL/DH,OF,Rostered
The Roman Empire Strikes Back,Michael Soroka,P/SP/BE/IL,SP,Rostered
The Roman Empire Strikes Back,Bryce Elder,P/SP/BE/IL,SP,Rostered
The Roman Empire Strikes Back,TJ Rumfield,3B/1B/3B/IF/UTIL/BE/IL/1B,UTIL,Rostered
The Roman Empire Strikes Back,Justin Wrobleski,P/RP/BE/IL/SP,RP,Rostered
The Roman Empire Strikes Back,Spencer Arrighetti,P/SP/BE/IL,SP,Rostered
The Roman Empire Strikes Back,Tyler Alexander,P/SP/RP/BE/IL,RP,Rostered
The Roman Empire Strikes Back,Payton Tolle,P/SP/BE/IL,P,Rostered
The Roman Empire Strikes Back,Luke Raley,1B/1B/3B/IF/RF/OF/UTIL/BE/IL,1B/3B,Rostered
The Roman Empire Strikes Back,Kyle Harrison,P/SP/BE/IL,P,Rostered
