Player,Positions,Status
Alejandro Kirk,C/UTIL/BE,Available
Dansby Swanson,SS/2B/SS/UTIL/BE,Available
Jeremiah Jackson,3B/1B/3B/OF/UTIL/BE/2B/2B/SS,Available
Jose Caballero,2B/3B/SS/2B/SS/1B/3B/OF/UTIL/BE,Available
Gabriel Moreno,C/UTIL/BE,Available
Roki Sasaki,P/SP/BE,Available
Aaron Civale,P/SP/BE,Available
Samuel Basallo,C/UTIL/BE,Available
Carter Jensen,C/UTIL/BE,Available
Erik Sabrowski,P/RP/BE,Available
Jordan Westburg,3B/1B/3B/UTIL/BE,Available
Cade Horton,P/SP/BE,Available
Bailey Ober,P/SP/BE,Available
Jorge Polanco,2B/2B/SS/UTIL/BE,Available
Tyler Rogers,P/RP/BE,Available
Landen Roupp,P/SP/BE,Available
Joey Wiemer,OF/UTIL/BE,Available
Colt Keith,2B/3B/2B/SS/1B/3B/UTIL/BE,Available
Austin Wells,C/UTIL/BE,Available
Royce Lewis,3B/1B/3B/UTIL/BE,Available
Luke Raley,1B/1B/3B/OF/UTIL/BE,Available
Kyle Harrison,P/SP/BE,Available
Davis Martin,P/SP/BE,Available
Brenton Doyle,OF/UTIL/BE,Available
Spencer Arrighetti,P/SP/BE,Available
Ivan Herrera,UTIL/BE,Available
Kyle Teel,C/UTIL/BE,Available
Ildemaro Vargas,1B/2B/2B/SS/1B/3B/UTIL/BE,Available
Chad Patrick,P/SP/BE,Available
Justin Crawford,OF/UTIL/BE,Available
Cole Young,2B/2B/SS/UTIL/BE,Available
Carson Benge,OF/UTIL/BE,Available
Aaron Ashby,P/RP/BE,Available
Michael McGreevy,P/SP/BE,Available
Nolan Schanuel,1B/1B/3B/UTIL/BE,Available
Rico Garcia,P/RP/BE,Available
Carson Kelly,C/UTIL/BE,Available
Adrian Morejon,P/RP/BE,Available
Brooks Lee,2B/3B/SS/2B/SS/1B/3B/UTIL/BE,Available
Jeff McNeil,2B/2B/SS/OF/UTIL/BE,Available
Marcell Ozuna,UTIL/BE,Available
Mick Abel,P/SP/BE,Available
Dominic Smith,1B/1B/3B/UTIL/BE,Available
Foster Griffin,P/SP/BE,Available
Javier Baez,3B/SS/2B/SS/1B/3B/OF/UTIL/BE,Available
Jameson Taillon,P/SP/BE,Available
Javier Sanoja,2B/3B/2B/SS/1B/3B/OF/UTIL/P/RP/BE,Available
Jake Cronenworth,2B/2B/SS/UTIL/BE,Available
J.P. Crawford,SS/2B/SS/UTIL/BE,Available
Max Meyer,P/SP/BE,Available
Nick Fortes,C/UTIL/BE,Available
Keider Montero,P/SP/RP/BE,Available
Matthew Liberatore,P/SP/BE,Available
Jurickson Profar,OF/UTIL/BE,Available
Mike Burrows,P/SP/BE,Available
Anthony Volpe,SS/2B/SS/UTIL/BE,Available
Nolan Gorman,2B/3B/2B/SS/1B/3B/UTIL/BE,Available
Tomoyuki Sugano,P/SP/BE,Available
Gary Sanchez,C/UTIL/BE,Available
Tommy Edman,2B/2B/SS/OF/UTIL/BE,Available
Luke Weaver,P/RP/BE,Available
Brett Baty,2B/3B/2B/SS/1B/3B/UTIL/BE,Available
Jose Fernandez,SS/2B/SS/UTIL/BE,Available
Dylan Crews,OF/UTIL/BE,Available
Tyler Alexander,P/SP/RP/BE,Available
Mark Vientos,3B/1B/3B/UTIL/BE/1B,Available
Dominic Canzone,OF/UTIL/BE,Available
Dalton Rushing,C/UTIL/BE,Available
Sam Antonacci,2B/3B/2B/SS/1B/3B/UTIL/BE,Available
Logan O'Hoppe,C/UTIL/BE,Available
Shane Smith,P/SP/BE,Available
Pablo Lopez,P/SP/BE,Available
Eric Lauer,P/SP/RP/BE,Available
Chase Meidroth,2B/SS/2B/SS/UTIL/BE,Available
Brandon Pfaadt,P/SP/BE,Available
Jordan Lawlar,3B/1B/3B/UTIL/BE,Available
Marcelo Mayer,3B/1B/3B/UTIL/BE/2B/2B/SS,Available
Brady House,3B/1B/3B/UTIL/BE,Available
Jesus Sanchez,OF/UTIL/BE,Available
Colt Emerson,SS/2B/SS/UTIL/BE,Available
Carmen Mlodzinski,P/SP/RP/BE,Available
Graham Ashcraft,P/RP/BE,Available
Troy Johnston,1B/1B/3B/OF/UTIL/BE,Available
Moises Ballesteros,UTIL/BE,Available
Joel Kuhnel,P/RP/BE,Available
Colton Cowser,OF/UTIL/BE,Available
Didier Fuentes,P/SP/BE,Available
Jasson Dominguez,OF/UTIL/BE,Available
Matt Shaw,3B/1B/3B/UTIL/BE/OF,Available
Juan Morillo,P/RP/BE,Available
Max Clark,OF/UTIL/BE,Available
Victor Scott II,OF/UTIL/BE,Available
Jack Kochanowicz,P/SP/BE,Available
Walker Buehler,P/SP/BE,Available
Matt Wallner,OF/UTIL/BE,Available
Andrew Benintendi,OF/UTIL/BE,Available
Rhys Hoskins,1B/1B/3B/UTIL/BE,Available
Lars Nootbaar,OF/UTIL/BE,Available
Cedric Mullins,OF/UTIL/BE,Available
Joe Boyle,P/SP/BE,Available
Harrison Bader,OF/UTIL/BE,Available
Kyle Freeland,P/SP/BE,Available
Bryce Eldridge,UTIL/BE,Available
Lourdes Gurriel Jr.,OF/UTIL/BE,Available
Janson Junk,P/SP/BE,Available
Travis Bazzana,2B/2B/SS/UTIL/BE,Available
Mike Yastrzemski,OF/UTIL/BE,Available
Javier Assad,P/SP/BE,Available
Connor Norby,3B/1B/3B/UTIL/BE/1B,Available
Dylan Beavers,OF/UTIL/BE,Available
Nasim Nunez,2B/SS/2B/SS/UTIL/BE,Available
Hyeseong Kim,2B/2B/SS/UTIL/BE,Available
Luisangel Acuna,2B/2B/SS/UTIL/BE/OF,Available
Casey Schmitt,2B/3B/2B/SS/1B/3B/UTIL/BE,Available
Tyler Stephenson,C/UTIL/BE,Available
Carlos Narvaez,C/UTIL/BE,Available
Dustin May,P/SP/BE,Available
Antonio Senzatela,P/SP/BE/RP,Available
Josh Jung,3B/1B/3B/UTIL/BE,Available
Sean Manaea,P/SP/BE,Available
Logan Henderson,P/SP/BE,Available
Victor Caratini,C/UTIL/BE,Available
Leo De Vries,SS/2B/SS/UTIL/BE,Available
Oswald Peraza,3B/1B/3B/UTIL/BE/2B/2B/SS,Available
Tim Hill,P/RP/BE,Available
Hurston Waldrep,P/SP/BE,Available
Dean Kremer,P/SP/BE,Available
Cole Sands,P/RP/BE,Available
Brayan Rocchio,2B/SS/2B/SS/UTIL/BE,Available
Joey Ortiz,SS/2B/SS/UTIL/BE,Available
Garrett Cleavinger,P/RP/BE,Available
Colin Rea,P/SP/BE,Available
Bo Naylor,C/UTIL/BE,Available
Shawn Armstrong,P/RP/BE,Available
Sean Burke,P/SP/BE,Available
Gabe Speier,P/RP/BE,Available
Brandon Sproat,P/SP/BE,Available
Payton Tolle,P/SP/BE,Available
Ryan McMahon,3B/1B/3B/UTIL/BE,Available
Tyler Mahle,P/SP/BE,Available
Charlie Condon,1B/1B/3B/UTIL/BE,Available
Tobias Myers,P/SP/RP/BE,Available
Jordan Beck,OF/UTIL/BE,Available
Ryan Waldschmidt,OF/UTIL/BE,Available
Edouard Julien,1B/2B/2B/SS/1B/3B/UTIL/BE,Available
Paul Goldschmidt,1B/1B/3B/UTIL/BE,Available
Anthony Kay,P/SP/BE,Available
Coby Mayo,1B/1B/3B/UTIL/BE/3B,Available
Andre Pallante,P/SP/BE,Available
Jacob Young,OF/UTIL/BE,Available
Josh Lowe,OF/UTIL/BE,Available
Cristian Javier,P/SP/BE,Available
Robby Snelling,P/SP/BE,Available
Jesus Made,SS/2B/SS/UTIL/BE,Available
Walker Jenkins,OF/UTIL/BE,Available
Kumar Rocker,P/SP/BE,Available
Brandon Williamson,P/SP/BE,Available
Jacob Latz,P/SP/RP/BE,Available
Miguel Andujar,3B/1B/3B/OF/UTIL/BE,Available
Keibert Ruiz,C/UTIL/BE,Available
Tyler Holton,P/SP/RP/BE,Available
Jonah Tong,P/SP/BE,Available
Adrian Houser,P/SP/BE,Available
Rece Hinds,OF/UTIL/BE,Available
Daniel Schneemann,2B/3B/2B/SS/1B/3B/OF/UTIL/BE,Available
Martin Perez,P/SP/BE,Available
Triston Casas,1B/1B/3B/UTIL/BE,Available
Spencer Horwitz,1B/1B/3B/UTIL/BE,Available
Sean Murphy,C/UTIL/BE,Available
Spencer Jones,OF/UTIL/BE,Available
Patrick Bailey,C/UTIL/BE,Available
Jacob Lopez,P/SP/BE,Available
Tyler O'Neill,OF/UTIL/BE,Available
Anthony Santander,OF/UTIL/BE,Available
Miguel Amaya,C/UTIL/BE,Available
Miguel Rojas,2B/3B/SS/2B/SS/1B/3B/UTIL/BE,Available
Amed Rosario,2B/3B/2B/SS/1B/3B/UTIL/BE,Available
Nick Gonzales,2B/2B/SS/UTIL/BE/3B/1B/3B,Available
Masataka Yoshida,UTIL/BE,Available
Justin Sterner,P/RP/BE,Available
Cade Povich,P/SP/BE,Available
Chase Dollander,P/SP/BE/RP,Available
Austin Hays,OF/UTIL/BE,Available
Zach Eflin,P/SP/BE,Available
Andrew Kittredge,P/RP/BE,Available
Kade Anderson,P/SP/BE,Available
Enyel De Los Santos,P/RP/BE,Available
Thomas White,P/SP/BE,Available
Dylan Lee,P/RP/BE,Available
Gavin Lux,OF/UTIL/BE,Available
Simeon Woods Richardson,P/SP/BE,Available
Yohan Ramirez,P/RP/BE,Available
Jackson Jobe,P/SP/BE,Available
Taylor Rogers,P/RP/BE,Available
German Marquez,P/SP/BE,Available
Phil Maton,P/RP/BE,Available
Aidan Miller,SS/2B/SS/UTIL/BE,Available
Sebastian Walcott,SS/2B/SS/UTIL/BE,Available
Braxton Garrett,P/SP/BE,Available
Carlos Lagrange,P/SP/BE,Available
